"dateyear","dailyconfirmed","totalconfirmed","dailydeceased","totaldeceased","dailyrecovered","totalrecovered"
2020-04-27,"1568","29458","58","939","614","7137"
2020-04-26,"1607","27890","56","881","585","6523"
2020-04-25,"1835","26283","44","825","442","5938"
2020-04-24,"1408","24448","59","781","484","5496"
2020-04-23,"1667","23040","40","722","642","5012"
2020-04-22,"1292","21373","36","682","394","4370"
2020-04-21,"1537","20081","53","646","703","3976"
2020-04-20,"1239","18544","33","593","419","3273"
2020-04-19,"1580","17305","38","560","388","2854"
2020-04-18,"1371","15725","35","522","426","2466"
2020-04-17,"922","14354","38","487","273","2040"
2020-04-16,"1061","13432","26","449","258","1767"
2020-04-15,"886","12371","27","423","144","1509"
2020-04-14,"1031","11485","37","396","167","1365"
2020-04-13,"1243","10454","27","359","112","1198"
2020-04-12,"758","9211","42","332","114","1086"
2020-04-11,"854","8453","41","290","186","972"
2020-04-10,"871","7599","22","249","151","786"
2020-04-09,"813","6728","46","227","70","635"
2020-04-08,"565","5915","20","181","96","565"
2020-04-07,"573","5350","27","161","75","469"
2020-04-06,"484","4777","16","134","65","394"
2020-04-05,"609","4293","22","118","43","329"
2020-04-04,"579","3684","13","96","56","286"
2020-04-03,"560","3105","14","83","39","230"
2020-04-02,"486","2545","16","69","22","191"
2020-04-01,"424","2059","6","53","19","169"
2020-03-31,"309","1635","6","47","13","150"
2020-03-30,"187","1326","14","41","35","137"
2020-03-29,"120","1139","3","27","17","102"
2020-03-28,"136","1019","5","24","10","85"
2020-03-27,"153","883","3","19","25","75"
2020-03-26,"73","730","5","16","7","50"
2020-03-25,"86","657","1","11","3","43"
2020-03-24,"74","571","1","10","15","40"
2020-03-23,"94","497","2","9","2","25"
2020-03-22,"69","403","3","7","0","23"
2020-03-21,"78","334","0","4","0","23"
2020-03-20,"58","256","0","4","3","23"
2020-03-19,"27","198","1","4","5","20"
2020-03-18,"25","171","0","3","0","15"
2020-03-17,"20","146","1","3","1","15"
2020-03-16,"14","126","0","2","1","14"
2020-03-15,"10","112","0","2","3","13"
2020-03-14,"11","102","1","2","0","10"
2020-03-13,"10","91","0","1","6","10"
2020-03-12,"10","81","1","1","0","4"
2020-03-11,"8","71","0","0","0","4"
2020-03-10,"15","63","0","0","1","4"
2020-03-09,"9","48","0","0","0","3"
2020-03-08,"5","39","0","0","0","3"
2020-03-07,"3","34","0","0","0","3"
2020-03-06,"1","31","0","0","0","3"
2020-03-05,"2","30","0","0","0","3"
2020-03-04,"22","28","0","0","0","3"
2020-03-03,"1","6","0","0","0","3"
2020-03-02,"2","5","0","0","0","3"
2020-03-01,"0","3","0","0","0","3"
2020-02-29,"0","3","0","0","0","3"
2020-02-28,"0","3","0","0","0","3"
2020-02-27,"0","3","0","0","0","3"
2020-02-26,"0","3","0","0","0","3"
2020-02-25,"0","3","0","0","0","3"
2020-02-24,"0","3","0","0","0","3"
2020-02-23,"0","3","0","0","0","3"
2020-02-22,"0","3","0","0","0","3"
2020-02-21,"0","3","0","0","0","3"
2020-02-20,"0","3","0","0","1","3"
2020-02-19,"0","3","0","0","0","2"
2020-02-18,"0","3","0","0","0","2"
2020-02-17,"0","3","0","0","0","2"
2020-02-16,"0","3","0","0","1","2"
2020-02-15,"0","3","0","0","0","1"
2020-02-14,"0","3","0","0","0","1"
2020-02-13,"0","3","0","0","1","1"
2020-02-12,"0","3","0","0","0","0"
2020-02-11,"0","3","0","0","0","0"
2020-02-10,"0","3","0","0","0","0"
2020-02-09,"0","3","0","0","0","0"
2020-02-08,"0","3","0","0","0","0"
2020-02-07,"0","3","0","0","0","0"
2020-02-06,"0","3","0","0","0","0"
2020-02-05,"0","3","0","0","0","0"
2020-02-04,"0","3","0","0","0","0"
2020-02-03,"1","3","0","0","0","0"
2020-02-02,"1","2","0","0","0","0"
2020-02-01,"0","1","0","0","0","0"
2020-01-31,"0","1","0","0","0","0"
2020-01-30,"1","1","0","0","0","0"
